Date,Code,Name,High,Low,Average
2023-07-03,005930,삼성전자,73200,72600,72900.0
2023-07-04,005930,삼성전자,73600,72900,73250.0
2023-07-05,005930,삼성전자,73300,71900,72600.0
2023-07-06,005930,삼성전자,72400,71500,71950.0
2023-07-07,005930,삼성전자,71400,69800,70600.0
2023-07-10,005930,삼성전자,70400,69200,69800.0
2023-07-11,005930,삼성전자,71500,70100,70800.0
2023-07-12,005930,삼성전자,72000,71100,71550.0
2023-07-13,005930,삼성전자,72600,71900,72250.0
2023-07-14,005930,삼성전자,73400,72400,72900.0
2023-07-17,005930,삼성전자,73500,72800,73150.0
2023-07-18,005930,삼성전자,73500,72000,72750.0
2023-07-19,005930,삼성전자,72800,71300,72050.0
2023-07-20,005930,삼성전자,71500,70800,71150.0
2023-07-21,005930,삼성전자,70400,69400,69900.0
2023-07-24,005930,삼성전자,70900,69900,70400.0
2023-07-25,005930,삼성전자,70500,69800,70150.0
2023-07-26,005930,삼성전자,70600,68100,69350.0
2023-07-27,005930,삼성전자,71700,69300,70500.0
2023-07-28,005930,삼성전자,72400,70100,71250.0
2023-07-31,005930,삼성전자,71000,69800,70400.0
2023-08-01,005930,삼성전자,71200,70000,70600.0
2023-08-02,005930,삼성전자,71000,69800,70400.0
2023-08-03,005930,삼성전자,70200,68500,69350.0
2023-08-04,005930,삼성전자,69100,68200,68650.0
2023-08-07,005930,삼성전자,69200,67600,68400.0
2023-08-08,005930,삼성전자,69100,67400,68250.0
2023-08-09,005930,삼성전자,69600,67900,68750.0
2023-08-10,005930,삼성전자,68500,67800,68150.0
2023-08-11,005930,삼성전자,68800,67500,68150.0
2023-08-14,005930,삼성전자,67900,66900,67400.0
2023-08-16,005930,삼성전자,67100,66300,66700.0
2023-08-17,005930,삼성전자,66800,66000,66400.0
2023-08-18,005930,삼성전자,66700,65800,66250.0
2023-08-21,005930,삼성전자,67100,66300,66700.0
2023-08-22,005930,삼성전자,67700,66300,67000.0
2023-08-23,005930,삼성전자,67100,66400,66750.0
2023-08-24,005930,삼성전자,68700,67900,68300.0
2023-08-25,005930,삼성전자,67400,66900,67150.0
2023-08-28,005930,삼성전자,67000,66500,66750.0
2023-08-29,005930,삼성전자,67200,66600,66900.0
2023-08-30,005930,삼성전자,67700,67100,67400.0
2023-08-31,005930,삼성전자,67200,66400,66800.0
2023-09-01,005930,삼성전자,71000,66700,68850.0
2023-09-04,005930,삼성전자,72900,70700,71800.0
2023-09-05,005930,삼성전자,71500,70200,70850.0
2023-09-06,005930,삼성전자,70800,69700,70250.0
2023-09-07,005930,삼성전자,70600,69600,70100.0
2023-09-08,005930,삼성전자,70300,69600,69950.0
2023-09-11,005930,삼성전자,70800,70000,70400.0
2023-09-12,005930,삼성전자,71000,70400,70700.0
2023-09-13,005930,삼성전자,71600,70300,70950.0
2023-09-14,005930,삼성전자,71800,70800,71300.0
2023-09-15,005930,삼성전자,72300,71400,71850.0
2023-09-18,005930,삼성전자,71700,70200,70950.0
2023-09-19,005930,삼성전자,70800,69600,70200.0
2023-09-20,005930,삼성전자,70300,69500,69900.0
2023-09-21,005930,삼성전자,69800,68800,69300.0
2023-09-22,005930,삼성전자,68900,68300,68600.0
2023-09-25,005930,삼성전자,69700,68500,69100.0
2023-09-26,005930,삼성전자,70000,68400,69200.0
2023-09-27,005930,삼성전자,69100,68200,68650.0
2023-10-04,005930,삼성전자,67700,66700,67200.0
2023-10-05,005930,삼성전자,67400,66700,67050.0
2023-10-06,005930,삼성전자,67300,66000,66650.0
2023-10-10,005930,삼성전자,67600,66200,66900.0
2023-10-11,005930,삼성전자,69400,67900,68650.0
2023-10-12,005930,삼성전자,69700,68200,68950.0
2023-10-13,005930,삼성전자,68500,67700,68100.0
2023-10-16,005930,삼성전자,68500,66800,67650.0
2023-10-17,005930,삼성전자,69900,67400,68650.0
2023-10-18,005930,삼성전자,70500,68800,69650.0
2023-10-19,005930,삼성전자,70000,69400,69700.0
2023-10-20,005930,삼성전자,69200,68100,68650.0
2023-10-23,005930,삼성전자,69100,68200,68650.0
2023-10-24,005930,삼성전자,68800,67700,68250.0
2023-10-25,005930,삼성전자,68800,67900,68350.0
2023-10-26,005930,삼성전자,67900,66700,67300.0
2023-10-27,005930,삼성전자,67300,66700,67000.0
2023-10-30,005930,삼성전자,67800,66700,67250.0
2023-10-31,005930,삼성전자,68300,66900,67600.0
2023-11-01,005930,삼성전자,68900,67300,68100.0
2023-11-02,005930,삼성전자,70000,69400,69700.0
2023-11-03,005930,삼성전자,70200,69500,69850.0
2023-11-06,005930,삼성전자,70900,69300,70100.0
2023-11-07,005930,삼성전자,70900,70000,70450.0
2023-11-08,005930,삼성전자,71400,69700,70550.0
2023-11-09,005930,삼성전자,70800,69600,70200.0
2023-11-10,005930,삼성전자,70500,69500,70000.0
2023-11-13,005930,삼성전자,71300,70300,70800.0
2023-11-14,005930,삼성전자,71100,70600,70850.0
2023-11-15,005930,삼성전자,72200,71500,71850.0
2023-11-16,005930,삼성전자,73000,72300,72650.0
2023-11-17,005930,삼성전자,73000,72300,72650.0
2023-11-20,005930,삼성전자,73000,72100,72550.0
2023-11-21,005930,삼성전자,73400,72700,73050.0
2023-11-22,005930,삼성전자,73000,71900,72450.0
2023-11-23,005930,삼성전자,73200,72200,72700.0
2023-11-24,005930,삼성전자,72600,71700,72150.0
2023-11-27,005930,삼성전자,72100,71100,71600.0
2023-11-28,005930,삼성전자,72700,71300,72000.0
2023-11-29,005930,삼성전자,72800,72200,72500.0
2023-11-30,005930,삼성전자,72800,72200,72500.0
2023-12-01,005930,삼성전자,72500,71700,72100.0
2023-12-04,005930,삼성전자,72900,72400,72650.0
2023-12-05,005930,삼성전자,72400,71200,71800.0
2023-12-06,005930,삼성전자,72100,71600,71850.0
2023-12-07,005930,삼성전자,71900,71100,71500.0
2023-12-08,005930,삼성전자,72800,71900,72350.0
2023-12-11,005930,삼성전자,73000,72200,72600.0
2023-12-12,005930,삼성전자,73500,73100,73300.0
2023-12-13,005930,삼성전자,73500,72800,73150.0
2023-12-14,005930,삼성전자,74300,72500,73400.0
2023-12-15,005930,삼성전자,74000,73200,73600.0
2023-12-18,005930,삼성전자,73400,72800,73100.0
2023-12-19,005930,삼성전자,73400,72800,73100.0
2023-12-20,005930,삼성전자,74900,73800,74350.0
2023-12-21,005930,삼성전자,75000,74300,74650.0
2023-12-22,005930,삼성전자,76300,75400,75850.0
2023-12-26,005930,삼성전자,76700,75700,76200.0
2023-12-27,005930,삼성전자,78000,76500,77250.0
2023-12-28,005930,삼성전자,78500,77500,78000.0
2024-01-02,005930,삼성전자,79800,78200,79000.0
2024-01-03,005930,삼성전자,78800,77000,77900.0
2024-01-04,005930,삼성전자,77300,76100,76700.0
2024-01-05,005930,삼성전자,77100,76400,76750.0
2024-01-08,005930,삼성전자,77500,76400,76950.0
2024-01-09,005930,삼성전자,77700,74300,76000.0
