날짜,시가,고가,저가,종가,거래량,등락률
2023-07-03,72700,73200,72600,73000,10722181,1.10803324099723
2023-07-04,73400,73600,72900,73000,10214350,0.0
2023-07-05,73000,73300,71900,72000,12310610,-1.36986301369863
2023-07-06,71900,72400,71500,71600,14777667,-0.5555555555555556
2023-07-07,71100,71400,69800,69900,17308877,-2.3743016759776534
2023-07-10,70000,70400,69200,69500,11713926,-0.5722460658082975
2023-07-11,70200,71500,70100,71500,12177392,2.877697841726619
2023-07-12,71200,72000,71100,71900,10375581,0.5594405594405595
2023-07-13,72400,72600,71900,71900,14417279,0.0
2023-07-14,72500,73400,72400,73400,15882519,2.086230876216968
2023-07-17,73200,73500,72800,73300,10060049,-0.13623978201634876
2023-07-18,73200,73500,72000,72000,11697900,-1.7735334242837655
2023-07-19,72700,72800,71300,71700,10896412,-0.4166666666666667
2023-07-20,71100,71500,70800,71000,9732730,-0.9762900976290098
2023-07-21,70400,70400,69400,70300,16528926,-0.9859154929577465
2023-07-24,70100,70900,69900,70400,13418597,0.1422475106685633
2023-07-25,70000,70500,69800,70000,14314945,-0.5681818181818182
2023-07-26,69800,70600,68100,69800,30016221,-0.2857142857142857
2023-07-27,69900,71700,69300,71700,24261179,2.722063037249284
2023-07-28,71800,72400,70100,70600,19420683,-1.5341701534170153
2023-07-31,70900,71000,69800,69800,13035420,-1.13314447592068
2023-08-01,70100,71200,70000,71100,12299254,1.8624641833810889
2023-08-02,70700,71000,69800,69900,13835020,-1.6877637130801686
2023-08-03,69900,70200,68500,68800,20087090,-1.5736766809728182
2023-08-04,68800,69100,68200,68300,12360193,-0.7267441860465116
2023-08-07,67700,69200,67600,68500,10968505,0.29282576866764276
2023-08-08,69000,69100,67400,67600,14664709,-1.313868613138686
2023-08-09,68000,69600,67900,68900,17259673,1.9230769230769231
2023-08-10,68300,68500,67800,68000,10227311,-1.3062409288824384
2023-08-11,68400,68800,67500,67500,9781038,-0.7352941176470588
2023-08-14,67500,67900,66900,67300,9352343,-0.2962962962962963
2023-08-16,66700,67100,66300,67000,13174578,-0.44576523031203563
2023-08-17,66300,66800,66000,66700,10778652,-0.44776119402985076
2023-08-18,66000,66700,65800,66300,11745006,-0.5997001499250375
2023-08-21,66600,67100,66300,66600,9720067,0.4524886877828055
2023-08-22,67200,67700,66300,66600,10500242,0.0
2023-08-23,66700,67100,66400,67100,9549352,0.7507507507507507
2023-08-24,68300,68700,67900,68200,15044463,1.639344262295082
2023-08-25,67100,67400,66900,67100,7032462,-1.6129032258064515
2023-08-28,66800,67000,66500,66800,5824628,-0.44709388971684055
2023-08-29,66900,67200,66600,66800,9114352,0.0
2023-08-30,67300,67700,67100,67100,9181223,0.4491017964071856
2023-08-31,67100,67200,66400,66900,15964630,-0.29806259314456035
2023-09-01,66800,71000,66700,71000,29738235,6.128550074738415
2023-09-04,72900,72900,70700,71200,26286495,0.28169014084507044
2023-09-05,70900,71500,70200,70700,12330239,-0.7022471910112359
2023-09-06,70700,70800,69700,70000,11414620,-0.9900990099009901
2023-09-07,70000,70600,69600,70400,13741241,0.5714285714285714
2023-09-08,70200,70300,69600,70300,10688118,-0.14204545454545456
2023-09-11,70400,70800,70000,70800,11785462,0.7112375533428165
2023-09-12,70800,71000,70400,70500,11688599,-0.423728813559322
2023-09-13,71100,71600,70300,70900,15955797,0.5673758865248227
2023-09-14,71200,71800,70800,71700,21041407,1.1283497884344147
2023-09-15,71700,72300,71400,72000,17823512,0.41841004184100417
2023-09-18,71300,71700,70200,70200,16040727,-2.5
2023-09-19,70400,70800,69600,69800,11820188,-0.5698005698005698
2023-09-20,70000,70300,69500,69600,10873015,-0.28653295128939826
2023-09-21,69200,69800,68800,68900,10796336,-1.0057471264367817
2023-09-22,68300,68900,68300,68800,9897840,-0.14513788098693758
2023-09-25,68500,69700,68500,69400,13582516,0.872093023255814
2023-09-26,70000,70000,68400,68600,13143470,-1.1527377521613833
2023-09-27,68600,69100,68200,68400,14886491,-0.2915451895043732
2023-10-04,67400,67700,66700,67500,23361149,-1.3157894736842104
2023-10-05,67300,67400,66700,66700,16108313,-1.1851851851851851
2023-10-06,67100,67300,66000,66000,14386527,-1.0494752623688157
2023-10-10,66200,67600,66200,66400,19889202,0.6060606060606061
2023-10-11,68600,69400,67900,68200,25209349,2.710843373493976
2023-10-12,68600,69700,68200,68900,19311380,1.0263929618768328
2023-10-13,68000,68500,67700,68000,9724086,-1.3062409288824384
2023-10-16,67900,68500,66800,67300,12599299,-1.0294117647058822
2023-10-17,67700,69900,67400,69400,17299253,3.1203566121842496
2023-10-18,68900,70500,68800,70500,16493184,1.585014409221902
2023-10-19,69700,70000,69400,69500,13985012,-1.4184397163120568
2023-10-20,68900,69200,68100,68800,15204495,-1.0071942446043165
2023-10-23,68700,69100,68200,68400,11625959,-0.5813953488372093
2023-10-24,68700,68800,67700,68500,12791710,0.14619883040935672
2023-10-25,68800,68800,67900,68000,10610703,-0.7299270072992701
2023-10-26,67000,67900,66700,66700,15517624,-1.911764705882353
2023-10-27,67100,67300,66700,67300,11334726,0.8995502248875562
2023-10-30,66800,67800,66700,67300,10139270,0.0
2023-10-31,67600,68300,66900,66900,14488892,-0.5943536404160475
2023-11-01,67500,68900,67300,68600,13775256,2.5411061285500747
2023-11-02,70000,70000,69400,69700,16350031,1.6034985422740524
2023-11-03,69700,70200,69500,69600,10322234,-0.1434720229555237
2023-11-06,69800,70900,69300,70900,22228489,1.8678160919540232
2023-11-07,70600,70900,70000,70900,17228731,0.0
2023-11-08,71300,71400,69700,69900,12901310,-1.4104372355430184
2023-11-09,69900,70800,69600,70300,12301373,0.5722460658082975
2023-11-10,70000,70500,69500,70500,9684347,0.2844950213371266
2023-11-13,71300,71300,70300,70400,9246919,-0.14184397163120568
2023-11-14,71000,71100,70600,70800,9567984,0.5681818181818182
2023-11-15,71600,72200,71500,72200,20148677,1.977401129943503
2023-11-16,72500,73000,72300,72800,15860451,0.8310249307479225
2023-11-17,72300,73000,72300,72500,11494644,-0.4120879120879121
2023-11-20,72100,73000,72100,72700,10610157,0.27586206896551724
2023-11-21,73100,73400,72700,72800,9712881,0.1375515818431912
2023-11-22,72200,73000,71900,72800,11105143,0.0
2023-11-23,73000,73200,72200,72400,6775614,-0.5494505494505495
2023-11-24,72400,72600,71700,71700,6676685,-0.9668508287292817
2023-11-27,71500,72100,71100,71300,9113857,-0.5578800557880056
2023-11-28,71400,72700,71300,72700,13283081,1.9635343618513323
2023-11-29,72400,72800,72200,72700,9283933,0.0
2023-11-30,72700,72800,72200,72800,15783714,0.1375515818431912
2023-12-01,72400,72500,71700,72000,9871284,-1.098901098901099
2023-12-04,72800,72900,72400,72600,10229267,0.8333333333333334
2023-12-05,72300,72400,71200,71200,12129682,-1.9283746556473829
2023-12-06,71800,72100,71600,71700,8123087,0.7022471910112359
2023-12-07,71800,71900,71100,71500,8862017,-0.2789400278940028
2023-12-08,72100,72800,71900,72600,10859463,1.5384615384615385
2023-12-11,72800,73000,72200,73000,9861960,0.5509641873278237
2023-12-12,73300,73500,73100,73500,13758646,0.684931506849315
2023-12-13,73300,73500,72800,72800,13116766,-0.9523809523809524
2023-12-14,74100,74300,72500,73100,27567593,0.4120879120879121
2023-12-15,73800,74000,73200,73300,15419815,0.27359781121751026
2023-12-18,73300,73400,72800,72900,9690551,-0.5457025920873124
2023-12-19,73000,73400,72800,73400,8907632,0.6858710562414266
2023-12-20,74200,74900,73800,74800,16870156,1.9073569482288828
2023-12-21,74600,75000,74300,75000,13478766,0.267379679144385
2023-12-22,75800,76300,75400,75900,14515608,1.2
2023-12-26,76100,76700,75700,76600,13164909,0.922266139657444
2023-12-27,76700,78000,76500,78000,20651042,1.8276762402088773
2023-12-28,77700,78500,77500,78500,17797536,0.641025641025641
2024-01-02,78200,79800,78200,79600,17142847,1.4012738853503186
2024-01-03,78500,78800,77000,77000,21753644,-3.2663316582914574
2024-01-04,76100,77300,76100,76600,15324439,-0.5194805194805194
2024-01-05,76700,77100,76400,76600,11304316,0.0
2024-01-08,77000,77500,76400,76500,11088724,-0.13054830287206268
2024-01-09,77400,77700,74300,74700,26019249,-2.3529411764705883
2024-01-10,75000,75200,73200,73600,20259529,-1.4725568942436411
2024-01-11,72900,73600,72700,73200,57691266,-0.5434782608695652
2024-01-12,73000,74100,72800,73100,13038939,-0.1366120218579235
2024-01-15,73200,74000,73200,73900,13212339,1.094391244870041
2024-01-16,73500,73700,72500,72600,14760415,-1.7591339648173208
2024-01-17,73100,73300,71000,71000,22683660,-2.203856749311295
2024-01-18,71600,72000,70700,71700,17853397,0.9859154929577465
2024-01-19,73500,74700,73000,74700,23363427,4.184100418410042
2024-01-22,75900,76000,75000,75100,19673375,0.535475234270415
2024-01-23,75700,75800,74300,75200,14786224,0.13315579227696406
2024-01-24,75200,75200,73500,74000,12860661,-1.5957446808510638
2024-01-25,74200,74800,73700,74100,11737747,0.13513513513513514
2024-01-26,73700,74500,73300,73400,11160062,-0.9446693657219973
2024-01-29,73800,75200,73500,74400,13976521,1.3623978201634876
2024-01-30,75000,75300,73700,74300,12244418,-0.13440860215053765
2024-01-31,73400,74000,72500,72700,15703560,-2.1534320323014806
2024-02-01,73000,74200,72900,73600,19881033,1.2379642365887207
2024-02-02,74000,75200,73700,75200,14955881,2.1739130434782608
2024-02-05,74200,74800,73500,74300,19026021,-1.196808510638298
2024-02-06,74300,74700,73300,74400,14559254,0.13458950201884254
2024-02-07,74600,75500,74300,75000,16566445,0.8064516129032258
2024-02-08,75000,75200,73600,74100,20810708,-1.2
2024-02-13,74800,75200,74400,75200,21966745,1.484480431848853
2024-02-14,73700,74300,73700,74000,12434945,-1.5957446808510638
2024-02-15,74200,74400,73000,73000,14120600,-1.3513513513513513
2024-02-16,73300,73400,72500,72800,13444781,-0.273972602739726
2024-02-19,72800,73900,72800,73800,12726404,1.3736263736263736
2024-02-20,73700,73700,72800,73300,14681477,-0.6775067750677507
